,frame_id,Timestamp
437,438,2025-12-12 10:57:25.028242
438,439,2025-12-12 10:57:25.036482
439,440,2025-12-12 10:57:25.044194
440,441,2025-12-12 10:57:25.051195
441,442,2025-12-12 10:57:25.058231
442,443,2025-12-12 10:57:25.066376
443,444,2025-12-12 10:57:25.072829
444,445,2025-12-12 10:57:25.082058
445,446,2025-12-12 10:57:25.089263
446,447,2025-12-12 10:57:25.097265
447,448,2025-12-12 10:57:25.107712
448,449,2025-12-12 10:57:25.115868
449,450,2025-12-12 10:57:25.122004
450,451,2025-12-12 10:57:25.131226
451,452,2025-12-12 10:57:25.138306
452,453,2025-12-12 10:57:25.148476
453,454,2025-12-12 10:57:25.154476
454,455,2025-12-12 10:57:25.161477
455,456,2025-12-12 10:57:25.167497
456,457,2025-12-12 10:57:25.174544
457,458,2025-12-12 10:57:25.181962
458,459,2025-12-12 10:57:25.188944
459,460,2025-12-12 10:57:25.195941
460,461,2025-12-12 10:57:25.203469
461,462,2025-12-12 10:57:25.210878
462,463,2025-12-12 10:57:25.217885
463,464,2025-12-12 10:57:25.224880
464,465,2025-12-12 10:57:25.232031
465,466,2025-12-12 10:57:25.238928
466,467,2025-12-12 10:57:25.245411
467,468,2025-12-12 10:57:25.252453
468,469,2025-12-12 10:57:25.259518
469,470,2025-12-12 10:57:25.266551
470,471,2025-12-12 10:57:25.274008
471,472,2025-12-12 10:57:25.280558
472,473,2025-12-12 10:57:25.287526
473,474,2025-12-12 10:57:25.294572
474,475,2025-12-12 10:57:25.301528
475,476,2025-12-12 10:57:25.307731
476,477,2025-12-12 10:57:25.314324
477,478,2025-12-12 10:57:25.320840
478,479,2025-12-12 10:57:25.328876
479,480,2025-12-12 10:57:25.335852
480,481,2025-12-12 10:57:25.340359
481,482,2025-12-12 10:57:25.348947
482,483,2025-12-12 10:57:25.356001
483,484,2025-12-12 10:57:25.363002
484,485,2025-12-12 10:57:25.370001
485,486,2025-12-12 10:57:25.377006
486,487,2025-12-12 10:57:25.384001
487,488,2025-12-12 10:57:25.391049
488,489,2025-12-12 10:57:25.398224
489,490,2025-12-12 10:57:25.405242
490,491,2025-12-12 10:57:25.412260
491,492,2025-12-12 10:57:25.418735
492,493,2025-12-12 10:57:25.423813
493,494,2025-12-12 10:57:25.431824
494,495,2025-12-12 10:57:25.437157
495,496,2025-12-12 10:57:25.447313
496,497,2025-12-12 10:57:25.454412
